,Headline,Positive,Negative,Neutral,date,article_id
0,amid uncertainty in iraq basketball offers continuity,0.5988494753837585,0.07709531486034393,0.32405516505241394,01/04/2015,20510
1,egyptian christians mourn relatives killed by islamic state,0.07270429283380508,0.3240409791469574,0.6032547354698181,01/04/2015,20361
2,1940 army of 120000 starts census,0.04203030467033386,0.05613870918750763,0.9018309712409973,01/04/2015,20428
3,scott walker and dogs hes no ronald reagan,0.0371616929769516,0.05233773589134216,0.9105006456375122,01/04/2015,20431
4,wont get fooled again,0.09415601938962936,0.21419095993041992,0.6916529536247253,01/04/2015,20432
5,if an expert in preschool cant find a good one can anyone,0.045371513813734055,0.047912709414958954,0.9067158102989197,01/04/2015,20474
6,dutch royal family acts quickly after looted painting is found,0.0765533447265625,0.42509520053863525,0.49835148453712463,01/04/2015,20483
7,to catch a hacker,0.13580118119716644,0.04794865474104881,0.816250205039978,01/04/2015,20484
8,20150401auis,0.039051156491041183,0.03373849764466286,0.9272103309631348,01/04/2015,20473
9,attack on github appears to have ended,0.018339242786169052,0.46813106536865234,0.5135296583175659,01/04/2015,20472
10,mark wahlberg to help produce film on boston marathon bombing,0.09920249879360199,0.01956724002957344,0.8812302350997925,01/04/2015,20486
11,dolce gabbana bee earrings,0.10017963498830795,0.031151745468378067,0.8686686158180237,01/04/2015,20467
12,ready for hillary workers are getting ready to join campaign,0.2129519283771515,0.02070293389260769,0.7663451433181763,01/04/2015,20487
13,document rankin redacted,0.02335185371339321,0.031495995819568634,0.9451521635055542,01/04/2015,20466
14,haller,0.14943218231201172,0.07016357034444809,0.7804042100906372,01/04/2015,20464
15,first visits redacted,0.026936650276184082,0.028443394228816032,0.9446199536323547,01/04/2015,20461
16,rankin,0.0896863266825676,0.04950367659330368,0.8608099818229675,01/04/2015,20457
17,this just in behind the news alert,0.04852756857872009,0.03951507434248924,0.9119573831558228,01/04/2015,20494
18,haller notes,0.136634960770607,0.06234356015920639,0.8010215163230896,01/04/2015,20456
19,wine school napa valley cabernet sauvignon,0.05553283169865608,0.02855890430510044,0.9159082770347595,01/04/2015,19201
20,hillary clinton urges veto of arkansas religious freedom bill,0.04123193398118019,0.6395819783210754,0.31918612122535706,01/04/2015,20453
21,at the jewish museum of vienna enduring images of europe,0.07235148549079895,0.028458794578909874,0.8991897106170654,01/04/2015,20495
22,document leeuwenhoek first visits redacted,0.028502468019723892,0.02536194957792759,0.9461355209350586,01/04/2015,20452
23,The Rise of the Unicorns,0.14363089203834534,0.027885764837265015,0.8284834027290344,01/04/2015,20496
24,no comment necessary the homosexual lobby,0.029433179646730423,0.046635109931230545,0.9239317178726196,01/04/2015,20448
25,wine school muscadet,0.060031864792108536,0.029427343979477882,0.910540759563446,01/04/2015,19204
26,furious 7 with movie trailer james wan discusses paul walker and narrates a scene,0.02874934673309326,0.07414557784795761,0.8971050977706909,01/04/2015,20497
27,1965 nonlethal gas use examined,0.034229476004838943,0.024042516946792603,0.9417279958724976,01/04/2015,20442
28,tate britain director to move to portuguese museum,0.052547819912433624,0.022762158885598183,0.9246899485588074,01/04/2015,20441
29,john giorno s half century on the bowery,0.10295763611793518,0.08994952589273453,0.8070928454399109,01/04/2015,20440
30,tune in to the times 13,0.040679432451725006,0.032728444784879684,0.9265921115875244,01/04/2015,20438
31,2015LivelyMorgueTumblr53c,0.0637856274843216,0.03698525205254555,0.899229109287262,01/04/2015,20434
32,ou shaokun china arrest,0.03936485946178436,0.04472009092569351,0.9159150719642639,01/04/2015,20389
33,barefoot running may be harder for those over 30,0.05213764309883118,0.5547332763671875,0.39312905073165894,01/04/2015,20388
34,a friendly pillow fight worldwide,0.10175485163927078,0.020995907485485077,0.8772492408752441,01/04/2015,20556
35,is the indiana religious freedom law an invitation to discriminate against gays,0.031361520290374756,0.1963699758052826,0.772268533706665,01/04/2015,20384
36,the supreme courts death trap,0.05569170415401459,0.5751156210899353,0.3691926598548889,01/04/2015,20372
37,document filing on hsbc compliance,0.01795896515250206,0.06928464770317078,0.9127563834190369,01/04/2015,20528
38,test yourself the explorers club,0.07537714391946793,0.036473069339990616,0.8881498575210571,01/04/2015,20373
39,document indictment of senator robert menendez,0.04935328662395477,0.4844600558280945,0.4661867022514343,01/04/2015,20552
40,purvi patel could be just the beginning,0.04835475608706474,0.06579286605119705,0.8858523368835449,01/04/2015,20515
41,6 qs about the news april fools day,0.043985914438962936,0.029605263844132423,0.9264088273048401,01/04/2015,20374
42,cruz in iowa commends indiana for doing the right thing,0.8767810463905334,0.023548714816570282,0.09967032074928284,01/04/2015,20577
43,the limits of tylenol for pain relief,0.08168148994445801,0.018736356869339943,0.8995821475982666,01/04/2015,20480
44,verbatim menendez repeats im not going anywhere,0.033869244158267975,0.1480982005596161,0.8180325627326965,01/04/2015,20580
45,the americans recap stingers paige knows,0.11122103780508041,0.03815706819295883,0.8506218194961548,01/04/2015,20614
46,01drought callout,0.04948234558105469,0.13852497935295105,0.8119927048683167,01/04/2015,20581
