,Unnamed: 0,article_id,article_url,comment_count,year,date,title,datetimeobject
52,39,40,https://www.nytimes.com/2015/01/01/world/asia/stampede-in-shanghai-china.html,0,2015,01/01/2015,stampede in shanghai china,2015-01-01
176,6820,6821,https://www.nytimes.com/2015/02/01/world/europe/stig-bergling-a-cold-war-spy-known-for-his-escape-dies-at-77.html,0,2015,01/02/2015,stig bergling a cold war spy known for his escape dies at 77,2015-01-02
237,6868,6869,https://www.nytimes.com/2015/02/01/world/asia/clashes-intensify-between-armenia-and-azerbaijan-over-disputed-land.html,0,2015,01/02/2015,clashes intensify between armenia and azerbaijan over disputed land,2015-01-02
322,13301,13302,https://www.nytimes.com/2015/03/01/business/energy-environment/britain-wary-of-sanctions-adds-pressure-to-keep-russian-from-buying-energy-unit.html,0,2015,01/03/2015,britain wary of sanctions adds pressure to keep russian from buying energy unit,2015-01-03
340,13273,13274,https://www.nytimes.com/2015/03/01/world/us-seeks-to-deport-bosnians-over-war-crimes.html,0,2015,01/03/2015,us seeks to deport bosnians over war crimes,2015-01-03
386,13455,13456,https://bits.blogs.nytimes.com/2015/03/01/atts-chief-of-mobile-and-business-explains-the-world-beyond-phones/,5,2015,01/03/2015,atts chief of mobile and business explains the world beyond phones,2015-01-03
436,13349,13350,https://www.nytimes.com/2015/03/01/world/asia/tupperwares-sweet-spot-shifts-to-indonesia.html,0,2015,01/03/2015,tupperwares sweet spot shifts to indonesia,2015-01-03
563,13232,13233,https://www.nytimes.com/2015/03/01/world/europe/killing-of-boris-nemtsov-putin-critic-breeds-fear-in-russia.html,0,2015,01/03/2015,killing of boris nemtsov putin critic breeds fear in russia,2015-01-03
572,13235,13236,https://www.nytimes.com/2015/03/01/business/china-cuts-interest-rates-to-stimulate-slowing-economy.html,0,2015,01/03/2015,china cuts interest rates to stimulate slowing economy,2015-01-03
574,13240,13241,https://www.nytimes.com/2015/03/01/business/dealbook/warren-buffett-rails-against-investment-bankers.html,0,2015,01/03/2015,warren buffett rails against investment bankers,2015-01-03
610,20317,20318,https://www.nytimes.com/2015/04/01/world/middleeast/tired-of-war-bloggers-in-yemen-say-enough.html,0,2015,01/04/2015,tired of war bloggers in yemen say enough,2015-01-04
612,20320,20321,https://www.nytimes.com/2015/04/01/business/dealbook/energy-company-samson-hints-at-bankruptcy.html,0,2015,01/04/2015,energy company samson hints at bankruptcy,2015-01-04
