,Headline,Positive,Negative,Neutral,date,article_id
0,coronavirus china,0.024867389351129532,0.2525581121444702,0.7225744724273682,2020-10-02,5747
1,china epidemics coronavirus,0.025208957493305206,0.4327995479106903,0.5419914722442627,2020-10-02,5816
2,china coronavirus economy,0.024810118600726128,0.23849228024482727,0.7366975545883179,2020-10-02,5826
3,coronavirus japan cruise ship,0.037459298968315125,0.11324303597211838,0.8492976427078247,2020-10-02,5803
4,xi jinping coronavirus,0.026890847831964493,0.08998576551675797,0.8831233978271484,2020-10-02,5796
5,equifax hack china,0.046596914529800415,0.019673703238368034,0.9337294101715088,2020-10-02,5805
6,china coronavirus philippines travel,0.02259155549108982,0.1533832997083664,0.8240251541137695,2020-10-02,5792
7,coronavirus europe,0.025166315957903862,0.14188988506793976,0.8329437971115112,2020-10-02,5785
8,trump coronavirus epidemic,0.04050222411751747,0.043597325682640076,0.915900468826294,2020-10-02,5878
9,venezuela colombia refugees crisis,0.027544191107153893,0.45546552538871765,0.5169902443885803,2020-10-03,10077
10,coronavirus news,0.02274627983570099,0.11750144511461258,0.8597522377967834,2020-10-03,10048
11,coronavirus guidelines,0.023825788870453835,0.1421726793050766,0.8340014815330505,2020-10-03,10055
12,wuhan virus,0.037042394280433655,0.05830492824316025,0.9046526551246643,2020-10-03,10096
13,coronavirus recession policy,0.024231335148215294,0.3817157447338104,0.5940529108047485,2020-10-03,10196
14,italy coronavirus movement restrictions,0.03147174045443535,0.054625123739242554,0.9139031171798706,2020-10-03,10198
15,trump coronavirus relief package,0.19750945270061493,0.023564869537949562,0.7789257168769836,2020-10-03,10213
16,microsoft botnets malware,0.0218522809445858,0.643393874168396,0.3347538709640503,2020-10-03,10212
17,airlines coronavirus,0.0466064028441906,0.0354703888297081,0.9179231524467468,2020-10-03,10208
18,coronavirus colleges,0.023611219599843025,0.11802072077989578,0.8583680987358093,2020-10-03,10209
19,sanders biden rally coronavirus,0.14012651145458221,0.057989299297332764,0.8018841743469238,2020-10-03,10186
20,tiny modern love stories our second baby turned us into a business partnership,0.10959427803754807,0.01900162175297737,0.8714041113853455,2020-10-03,10174
21,biden sanders coronavirus,0.03230338543653488,0.09475095570087433,0.8729456663131714,2020-10-03,10182
22,europe carmakers sales coronavirus,0.041551779955625534,0.03454800322651863,0.923900306224823,2020-10-03,10124
23,coronavirus markets oil,0.02175533026456833,0.10641596466302872,0.8718287348747253,2020-10-03,10120
24,coronavirus china xi jinping,0.03231297805905342,0.04422778636217117,0.9234592914581299,2020-10-03,10119
25,coronavirus fema trump,0.02481788769364357,0.14549694955348969,0.8296851515769958,2020-10-03,10138
26,cruise ads coronavirus,0.032388053834438324,0.03432556986808777,0.9332864284515381,2020-10-03,10146
27,stock market coronavirus crisis,0.029856448993086815,0.28234973549842834,0.6877938508987427,2020-10-03,10107
28,south korea coronavirus shincheonji,0.03627975285053253,0.19495940208435059,0.7687608599662781,2020-10-03,10108
29,auctions wealth coronavirus,0.030992016196250916,0.03849704936146736,0.930510938167572,2020-10-07,1401
30,high risk left behind as the world reopens coronavirus,0.1596808284521103,0.2553483843803406,0.5849708318710327,2020-10-07,1400
31,us will impose tariffs on french goods in response to tech tax,0.05647388473153114,0.06161414086818695,0.8819119334220886,2020-10-07,1473
32,britain jobs plan layoffs,0.009313207119703293,0.9395122528076172,0.05117449909448624,2020-10-07,1445
33,sweden ambassador china,0.036635275930166245,0.03590421751141548,0.9274605512619019,2020-10-07,1376
34,coronavirus updates,0.0238676518201828,0.17566730082035065,0.8004650473594666,2020-10-07,1374
35,california economy coronavirus,0.04166597127914429,0.0639018565416336,0.8944321274757385,2020-10-07,1373
36,coroanvirus scotland england,0.027297738939523697,0.05132357031106949,0.9213787317276001,2020-10-07,1418
37,coronavirus capetown south africa,0.04011699929833412,0.07667789608240128,0.8832051157951355,2020-10-07,1368
38,local finances troubled investors profit,0.025556733831763268,0.741072416305542,0.233370840549469,2020-10-07,1345
39,awkward timing book financial ,0.024356264621019363,0.7888211607933044,0.18682262301445007,2020-10-07,1341
40,melbourne lockdown,0.0161276962608099,0.8344268202781677,0.1494455188512802,2020-10-07,1329
41,stocks big gains bigger questions,0.38745373487472534,0.06364035606384277,0.5489059090614319,2020-10-07,1358
42,canada airlines coronavirus,0.04186847060918808,0.04374866932630539,0.9143828749656677,2020-10-07,1497
43,edward kleinbard dead,0.06624279916286469,0.03755946457386017,0.8961977362632751,2020-10-07,1500
44,UK schools pubs coronavirus,0.029241755604743958,0.32154330611228943,0.6492148637771606,2020-10-08,1219
45,virus stimulus congress trump,0.2808245122432709,0.034008171409368515,0.6851673126220703,2020-10-08,1200
46,coronavirus new york city minority workers,0.03217555955052376,0.29320645332336426,0.6746179461479187,2020-10-08,1257
47,trump coronavirus border,0.03942744806408882,0.06748531013727188,0.8930872678756714,2020-10-08,1247
48,coronavirus covid 19,0.03780907765030861,0.03799005225300789,0.9242008328437805,2020-10-08,1145
49,mexico coronavirus hospitals,0.03011353872716427,0.2131730616092682,0.7567134499549866,2020-10-08,1125
50,heres the business news to watch this week,0.023844696581363678,0.05026707053184509,0.925888180732727,2020-10-08,1180
51,trump congress coronavirus,0.04076363518834114,0.05661739036440849,0.9026190042495728,2020-10-08,1172
52,biden trump virus woodward,0.07677575200796127,0.26731663942337036,0.6559076309204102,2020-10-09,1445
53,sanctions russia ukraine election interference,0.0595790296792984,0.10231707990169525,0.8381038904190063,2020-10-09,1451
54,century 21 bankruptcy closing,0.02387826144695282,0.22665944695472717,0.7494623064994812,2020-10-09,1452
55,ethiopia tigray elections abiy crisis,0.09784749150276184,0.05376126989722252,0.8483912944793701,2020-10-09,1431
56,killings guyana racial tension,0.022664522752165794,0.6775258779525757,0.29980960488319397,2020-10-09,1430
57,ppp fraud coronavirus,0.024740539491176605,0.2866796851158142,0.688579797744751,2020-10-09,1442
58,trump woodward,0.0622081384062767,0.04326154664158821,0.8945302963256836,2020-10-09,1482
59,fda coronavirus vaccine,0.04539091885089874,0.030646178871393204,0.9239628911018372,2020-10-09,1478
60,trump woodward coronavirus,0.05443767458200455,0.04832448810338974,0.8972377777099609,2020-10-09,1473
61,trump campaign virus woodward,0.04704297333955765,0.39611080288887024,0.5568462610244751,2020-10-09,1472
62,business owners fret that jobless benefits deter workers but studies show otherwise,0.0213510449975729,0.9507749080657959,0.027874106541275978,2020-10-09,1350
63,trump woodward book,0.06381832808256149,0.0679256021976471,0.8682560324668884,2020-10-09,1364
64,lesbos fires coronavirus,0.03403202071785927,0.05629995837807655,0.90966796875,2020-10-09,1404
65,trump black leaders,0.05371719226241112,0.06237156316637993,0.8839113116264343,2020-10-09,1335
66,covid 19 coronavirus,0.030683565884828568,0.06556788831949234,0.9037485122680664,2020-10-09,1346
67,investing stocks bonds markets,0.03751065954566002,0.032310765236616135,0.9301785826683044,2020-10-10,1684
68,European economy coronavirus,0.11623572558164597,0.0830443799495697,0.8007199764251709,2020-10-10,1682
69,boris johnson trump covid,0.032737646251916885,0.05107172206044197,0.9161905646324158,2020-10-10,1690
70,senate republicans white house coronavirus relief,0.03612921014428139,0.06414081156253815,0.8997299671173096,2020-10-10,1731
71,trump white house coronavirus,0.04735459014773369,0.04476272687315941,0.9078826904296875,2020-10-10,1730
72,trump cdc coronavirus,0.04088792949914932,0.05752753093838692,0.9015845656394958,2020-10-10,1700
