,Headline,Positive,Negative,Neutral,date,article_id
0,amnesty international sees evidence of palestinian war crimes in 14 gaza conflict,0.08676468580961227,0.6857047080993652,0.22753067314624786,2015-03-26,19052
1,3g capital warren buffetts favorite partner in deals worth billions,0.062316060066223145,0.02995375543832779,0.907730221748352,2015-03-26,19029
2,house leaders confident of passing medicare bill,0.8805395364761353,0.020418783649802208,0.09904170781373978,2015-03-26,19035
3,germanwings airbus crash,0.056529175490140915,0.03361502289772034,0.9098557233810425,2015-03-26,18841
4,yemen crisis explained,0.042105283588171005,0.4453021287918091,0.5125925540924072,2015-03-26,19075
5,germanwings plane crash joseph konig gymnasium students,0.033821143209934235,0.519967794418335,0.4462111294269562,2015-03-26,18930
6,tono studios helps marketers reach hispanics with culturally authentic ads,0.4406255781650543,0.007903925143182278,0.5514704585075378,2015-03-26,18874
7,challenges weigh heavily on recovery efforts in germanwings crash,0.32462286949157715,0.5595669150352478,0.11581020057201385,2015-03-26,18876
8,citigroup names new head of china investment banking,0.04040415957570076,0.03174128010869026,0.927854597568512,2015-03-26,18855
9,india navy plane crash,0.0309272613376379,0.40081968903541565,0.5682530403137207,2015-03-26,18858
10,history plane crashes pilots,0.028817132115364075,0.27782905101776123,0.6933538317680359,2015-03-26,19230
11,have recent plane crashes affected your decision to fly,0.02519787661731243,0.6882314682006836,0.28657066822052,2015-03-26,19235
12,few precedents are seen as germanwings investigation points to deliberate crash,0.05342639237642288,0.05730138719081879,0.8892722129821777,2015-03-27,19289
13,bank of england warns of risks from greece and market liquidity,0.0370534248650074,0.9430128931999207,0.01993374153971672,2015-03-27,19215
14,high risk but little reward for whistle blowers,0.09540083259344101,0.019542468711733818,0.8850566744804382,2015-03-27,19211
15,andreas lubitz germanwings co pilot showed no warning signs before crash airline says,0.08079154044389725,0.10690172016620636,0.8123067617416382,2015-03-27,19174
16,warren buffett and 3g may have one barrier to even bigger deals,0.10656751692295074,0.033139608800411224,0.8602928519248962,2015-03-27,19236
17,in song tales of personal finance,0.05977616831660271,0.053037241101264954,0.887186586856842,2015-03-27,19494
18,china raids offices of rights group as crackdown on activism continues,0.015163062140345573,0.8559192419052124,0.1289176046848297,2015-03-27,19156
19,taking to twitter irans president argues for rapid end to sanctions,0.21148426830768585,0.05249585583806038,0.7360199093818665,2015-03-27,19335
20,germanwings crash,0.08289484679698944,0.05131055414676666,0.8657946586608887,2015-03-27,19106
21,ellen pao disrupts how silicon valley does business,0.016566019505262375,0.8256369233131409,0.15779703855514526,2015-03-28,19621
22,poland charges russian air traffic controllers in crash,0.02104674093425274,0.9134219884872437,0.06553129106760025,2015-03-28,19617
23,celebrating john f burns war reporter and witness to era defining events,0.1729917824268341,0.01617574319243431,0.8108324408531189,2015-03-28,19616
24,isaac herzog israel fears elections,0.08020764589309692,0.25675085186958313,0.6630415320396423,2015-03-28,19515
25,australia warns of terror threat in kenyan capital,0.03983892872929573,0.8759547472000122,0.08420628309249878,2015-03-28,19502
26,houthi forces move on southern yemen raising specter of regional ground war,0.06388985365629196,0.7414169907569885,0.1946932077407837,2015-03-28,19481
27,germanwings crash andreas lubitz,0.049651850014925,0.13560375571250916,0.8147443532943726,2015-03-28,19381
28,add uncertainty to your financial plans,0.03398449718952179,0.3746534287929535,0.5913620591163635,2015-03-28,19465
29,australia to join regional development bank led by china,0.32366353273391724,0.008749772794544697,0.667586624622345,2015-03-29,19760
30,pilot andreas lubitz sought treatment for vision problems before germanwings crash authorities say,0.05639516934752464,0.8663656711578369,0.07723913341760635,2015-03-29,19672
31,germanwings crash andreas lubitz mental illness,0.02406390570104122,0.7536010146141052,0.2223351150751114,2015-03-29,19754
32,arab leaders agree on joint military force,0.6928352117538452,0.015734221786260605,0.29143065214157104,2015-03-30,19809
