,Headline,Positive,Negative,Neutral,date,article_id
0,schools reopen worldwide despite coronavirus,0.668263852596283,0.11490664631128311,0.21682950854301453,1975-01-01,109
1,mnuchin coronavirus stimulus video,0.06757655739784241,0.05114701762795448,0.8812764883041382,1975-01-01,112
2,biden trump woodward covid michigan,0.04661211371421814,0.018471023067831993,0.9349168539047241,1975-01-01,1251
3,mcenany trump covid virus,0.05211465805768967,0.022106029093265533,0.9257793426513672,1975-01-01,1241
4,boris johnson covid restrictions,0.053909897804260254,0.024735592305660248,0.9213544726371765,1975-01-01,1222
5,pfizer coronavirus vaccine october,0.06816645711660385,0.01710178703069687,0.9147317409515381,1975-01-01,506
6,pompeo who coronavirus vaccine,0.03992103040218353,0.07004272937774658,0.8900362849235535,1975-01-01,331
7,australia coronavirus vaccine,0.02987390011548996,0.21123754978179932,0.7588885426521301,1975-01-01,2559
8,nyc school reopening virus covid,0.059808507561683655,0.02080078236758709,0.9193906784057617,1975-01-01,4335
9,desantis florida coronavirus restaurants restrictions,0.027287205681204796,0.23414017260074615,0.7385725975036621,1975-01-01,3816
10,pelosi stimulus covid relief package,0.33022040128707886,0.05426183342933655,0.615517795085907,1975-01-01,184
11,notable deaths business economics,0.041098833084106445,0.030750589445233345,0.9281505346298218,1975-01-01,3767
12,who resurgence covid virus europe,0.04046430438756943,0.023449068889021873,0.9360865950584412,1975-01-01,2442
13,pakistan schools reopen virus covid universities,0.0882205069065094,0.026680508628487587,0.8850989937782288,1975-01-01,2057
14,france coronavirus testing,0.02388707734644413,0.06319911032915115,0.9129137992858887,1975-01-01,1621
15,trump woodward coronavirus interview,0.03740445524454117,0.12051114439964294,0.8420844078063965,1975-01-01,1459
16,ny forms covid vacinne approval panel,0.13012051582336426,0.018267042934894562,0.8516125082969666,1975-01-01,3588
17,keir starmer boris johnson covid,0.037179626524448395,0.05446984991431236,0.9083505272865295,1975-01-01,3182
18,trump united nations china virus covid,0.08084142953157425,0.026043230667710304,0.8931153416633606,1975-01-01,3174
19,trump puerto rico vaccine covid virus,0.0986725389957428,0.022962305694818497,0.878365159034729,1975-01-01,2711
20,texas governor coronavirus masks,0.049066849052906036,0.3113669455051422,0.63956618309021,1975-01-01,351
21,hong kong protests china,0.02249041385948658,0.8087695837020874,0.16874000430107117,1975-01-01,77
22,wuhan residents coronavirus,0.02956272102892399,0.2339380979537964,0.7364991903305054,1975-01-01,4799
23,china coronavirus contain,0.025019273161888123,0.15982303023338318,0.8151576519012451,1975-01-01,4325
24,coronavirus china wuhan,0.03237517923116684,0.08755486458539963,0.88006991147995,1975-01-01,3205
25,warren sanders debate handshake,0.04508644714951515,0.035693053156137466,0.919220507144928,1975-01-01,1837
26,iran crash,0.04764274135231972,0.07456422597169876,0.87779301404953,1975-01-01,1472
27,coronavirus maps,0.024962564930319786,0.1856120228767395,0.7894253730773926,1975-01-01,3909
28,betye saar taking care of business,0.0547744482755661,0.03245353698730469,0.9127719402313232,1975-01-01,3881
29,elizabeth warren 20 questions,0.03289395570755005,0.06565908342599869,0.9014469981193542,1975-01-01,3501
30,chicago coronavirus lightfoot,0.028267210349440575,0.08914008736610413,0.8825927376747131,1975-01-01,2084
31,trump walks out virus briefing,0.04467812553048134,0.5814247727394104,0.3738970160484314,1975-01-01,1242
32,air india plane crash video,0.022516531869769096,0.7440537810325623,0.2334296852350235,1975-01-01,922
33,china coronavirus masks uighur labor ppe,0.0329984575510025,0.13859957456588745,0.8284019827842712,1975-01-01,2582
34,azar trump masks coronavirus,0.04027513787150383,0.06654925644397736,0.8931756019592285,1975-01-01,393
35,australia coronavirus astrazeneca vaccine,0.03041141852736473,0.053961269557476044,0.9156273603439331,1975-01-01,1686
36,canada coronavirus pfizer biontech vaccine,0.04244710132479668,0.0227753184735775,0.934777557849884,1975-01-01,1373
37,mcconnell schumer coronavirus stimulus bill,0.07289891690015793,0.04525328427553177,0.8818477988243103,1975-01-01,1179
38,britain united kingdom coronavirus vaccine,0.02549801766872406,0.10683499276638031,0.867667019367218,1975-01-01,1161
39,coronavirus vaccine united kingdom,0.03691564500331879,0.10005826503038406,0.8630260229110718,1975-01-01,1102
40,france coronavirus case numbers,0.02586764097213745,0.4710589349269867,0.5030734539031982,1975-01-01,997
41,manitoba coronavirus,0.026529988273978233,0.07551228255033493,0.8979577422142029,1975-01-01,710
42,pence coronavirus vaccine cdc,0.11252163350582123,0.01587478257715702,0.8716036081314087,1975-01-01,700
43,newsom california stay at home coronavirus restrictions,0.03345750272274017,0.1829727292060852,0.7835697531700134,1975-01-01,542
44,staten island coronavirus bar protest,0.05134889855980873,0.025427138432860374,0.9232239723205566,1975-01-01,507
45,moderna coronavirus vaccine authorization,0.10079262405633926,0.012495956383645535,0.8867114782333374,1975-01-01,2601
46,sweden king coronavirus failed,0.04863033443689346,0.5086519718170166,0.44271764159202576,1975-01-01,2584
47,new jersey snowstorm coronavirus vaccines,0.02703087031841278,0.5971220135688782,0.375847190618515,1975-01-01,2569
48,powell federal rates economy coronavirus,0.10283686220645905,0.6346319317817688,0.26253119111061096,1975-01-01,2386
49,azar jerome adams coronavirus vaccine,0.03335094824433327,0.03618516027927399,0.9304638504981995,1975-01-01,2045
50,de balsio new york coronavirus restaurants,0.037236932665109634,0.0519871823489666,0.9107758402824402,1975-01-01,1986
51,de blasio coronavirus new york,0.02930394746363163,0.04252634197473526,0.9281697869300842,1975-01-01,493
52,deblasio nyc coronavirus,0.030259380117058754,0.17454825341701508,0.7951923608779907,1975-01-01,3780
53,biden trump health care coronavirus,0.0387570820748806,0.06270323693752289,0.898539662361145,1975-01-01,3623
54,australia coronavirus cases lockdown,0.01215565949678421,0.8764959573745728,0.11134841293096542,1975-01-01,3557
55,california emergency brake coronavirus,0.026264091953635216,0.2820558547973633,0.6916800141334534,1975-01-01,3375
56,coronavirus vaccine economic recovery,0.2904587686061859,0.02540426328778267,0.6841369271278381,1975-01-01,2759
57,france coronavirus lockdown,0.020460601896047592,0.5465214252471924,0.4330179691314697,1975-01-01,2738
58,wisconsin ohio coronavirus restrictions,0.021145347505807877,0.17938432097434998,0.7994703650474548,1975-01-01,2698
59,south africa lift coronavirus restrictions,0.08134615421295166,0.28938037157058716,0.6292734742164612,1975-01-01,2563
60,spain unveils new covid strategy,0.1262713372707367,0.011909740045666695,0.8618189692497253,1975-01-01,2537
61,biden trump coronavirus transition 2020 election,0.06599923968315125,0.013500812463462353,0.9204999208450317,1975-01-01,3820
62,china moon spaceship landing,0.06933220475912094,0.04036660119891167,0.8903011679649353,1975-01-01,164
63,germany trier car crash,0.02226109616458416,0.7922453880310059,0.1854935735464096,1975-01-01,152
64,boris johnson coronavirus vaccine wockhardt,0.05778948590159416,0.0680057555437088,0.874204695224762,1975-01-01,139
65,congress bipartisan coronavirus stimulus,0.038632411509752274,0.027431892231106758,0.9339357614517212,1975-01-01,129
66,britiain coronavirus restrictions christmas,0.03220291808247566,0.2759585380554199,0.6918385624885559,1975-01-01,4482
67,new york cuomo coronavirus restrictions,0.02391439490020275,0.1520616114139557,0.8240240216255188,1975-01-01,4309
68,england coronavirus restrictions reopening,0.031112531200051308,0.25472554564476013,0.7141619920730591,1975-01-01,4287
69,powell federal rates economy coronavirus,0.10283686220645905,0.6346319317817688,0.26253119111061096,1975-01-01,2386
70,azar jerome adams coronavirus vaccine,0.03335094824433327,0.03618516027927399,0.9304638504981995,1975-01-01,2045
71,de balsio new york coronavirus restaurants,0.037236932665109634,0.0519871823489666,0.9107758402824402,1975-01-01,1986
72,new jersey snowstorm coronavirus vaccines,0.02703087031841278,0.5971220135688782,0.375847190618515,1975-01-01,2569
73,australia coronavirus astrazeneca vaccine,0.03041141852736473,0.053961269557476044,0.9156273603439331,1975-01-01,1686
74,moderna coronavirus vaccine authorization,0.10079262405633926,0.012495956383645535,0.8867114782333374,1975-01-01,2601
75,newsom california coronavirus school funding,0.04178812354803085,0.06175350025296211,0.8964584469795227,1975-01-01,4037
76,colorado united kingdom coronavirus variant,0.02544129081070423,0.1015034168958664,0.8730553388595581,1975-01-01,4018
